participant_id,device,accuracy_deg,rms_precision_deg,data_loss,valid_trial_share,sampling_rate_hz
SYN-W-0029,webcam,0.973757,0.576557,0.0,0.885628,28.195937
SYN-W-0030,webcam,1.130831,0.3338,0.128671,0.916805,27.798589
SYN-W-0031,webcam,0.939411,0.340195,0.00091,0.911888,27.717445
SYN-W-0032,webcam,1.478181,0.588884,0.09811,0.958896,30.11721
SYN-W-0033,webcam,0.567541,0.500881,0.076146,0.930551,33.394281
SYN-W-0034,webcam,0.892598,0.851414,0.173932,0.957354,29.57037
SYN-W-0035,webcam,1.430481,0.489209,0.086346,0.898684,28.744145
SYN-W-0036,webcam,0.687224,0.427549,0.132141,0.932596,26.605815
SYN-W-0037,webcam,0.914604,0.127004,0.093576,0.923275,28.5914
SYN-W-0038,webcam,0.636637,0.488657,0.203451,0.919639,23.777451
SYN-W-0039,webcam,1.392031,0.496216,0.037267,0.933782,27.806195
SYN-W-0040,webcam,1.022707,0.385878,0.069332,0.964575,33.216091
SYN-W-0041,webcam,0.821024,0.608224,0.107578,0.936928,28.731021
SYN-W-0042,webcam,1.211819,0.412007,0.105029,0.956299,31.968487
SYN-W-0043,webcam,1.133486,0.793687,0.106891,0.882847,25.92041
SYN-W-0044,webcam,1.403258,0.679082,0.074162,0.92507,28.411651
SYN-W-0045,webcam,1.131564,0.606689,0.041411,0.926737,28.00364
SYN-W-0046,webcam,1.207235,0.500599,0.084297,0.984791,27.347476
SYN-W-0047,webcam,0.695032,0.58393,0.100803,0.965721,31.960943
SYN-W-0048,webcam,1.01685,0.613405,0.072329,0.940699,30.272505
SYN-W-0049,webcam,1.06431,0.661778,0.050426,0.932658,31.257489
SYN-W-0050,webcam,1.084438,0.474871,0.105249,0.903018,33.18917
SYN-W-0051,webcam,1.15368,0.503502,0.03672,0.94719,28.195527
SYN-W-0052,webcam,1.629082,0.329999,0.078431,0.914397,33.764508
SYN-W-0053,webcam,1.078147,0.34009,0.058075,0.976255,29.80681
SYN-W-0054,webcam,0.704975,0.522635,0.172156,0.900109,24.027763
SYN-W-0055,webcam,1.291131,0.623733,0.148567,0.930785,27.132458
SYN-W-0056,webcam,0.999903,0.265206,0.140232,0.971976,26.839577
SYN-W-0057,webcam,0.665823,0.328254,0.03723,1.0,29.309521
SYN-W-0058,webcam,1.565592,0.602907,0.117246,0.916331,31.50151
SYN-W-0059,webcam,1.666884,0.612202,0.13123,0.907492,32.005434
SYN-W-0060,webcam,1.520343,0.685801,0.117509,0.9165,28.664838
SYN-W-0061,webcam,0.801334,0.652047,0.099834,0.931933,34.718978
SYN-W-0062,webcam,1.366322,0.430979,0.083601,0.864375,29.541987
SYN-W-0063,webcam,1.249189,0.435867,0.067771,0.926954,26.843685
SYN-W-0064,webcam,1.220113,0.31085,0.044737,0.940515,26.118665
SYN-W-0065,webcam,0.77595,0.493841,0.096559,0.900632,30.62258
SYN-W-0066,webcam,0.970793,0.448578,0.121311,0.931985,27.271419
SYN-W-0067,webcam,1.404853,0.388162,0.096985,0.995052,29.865472
SYN-W-0068,webcam,1.224064,0.637814,0.13342,0.885183,25.701528
SYN-W-0069,webcam,1.222291,0.325925,0.063331,0.933235,28.493751
SYN-W-0070,webcam,1.248172,0.61376,0.05981,0.908866,27.344067
SYN-W-0071,webcam,1.059468,0.436911,0.025718,1.0,28.622334
SYN-W-0072,webcam,1.285994,0.527372,0.076779,0.934598,31.044172
SYN-W-0073,webcam,0.583074,0.44203,0.053775,0.904915,29.429774
SYN-W-0074,webcam,1.628982,0.620122,0.119435,0.973911,31.257123
SYN-W-0075,webcam,1.062031,0.527397,0.066899,0.932472,30.250686
SYN-W-0076,webcam,1.288474,0.429603,0.076543,0.923653,28.918154
SYN-W-0077,webcam,0.957994,0.636996,0.072329,0.92388,28.837038
SYN-W-0078,webcam,1.19261,0.554494,0.127818,0.949535,34.921881
SYN-W-0079,webcam,1.283825,0.446689,0.112676,0.950011,30.212862
SYN-W-0080,webcam,0.930235,0.481812,0.139364,0.990959,32.024715
SYN-W-0081,webcam,1.015847,0.574797,0.11181,0.903133,28.277131
SYN-W-0082,webcam,1.462148,0.295536,0.194008,0.854764,29.218642
SYN-W-0083,webcam,1.25375,0.591951,0.044781,0.906316,32.650343
SYN-W-0084,webcam,0.926992,0.56859,0.076213,0.863331,30.790555
SYN-W-0085,webcam,1.170067,0.445522,0.105207,0.936214,29.396869
SYN-W-0086,webcam,1.28473,0.670838,0.032628,0.98779,28.089491
SYN-W-0087,webcam,0.76519,0.49532,0.106735,0.921519,29.150403
SYN-W-0088,webcam,1.110182,0.402326,0.08429,0.863528,25.587515
SYN-W-0089,webcam,1.363536,0.496072,0.0,1.0,26.147358
SYN-W-0090,webcam,1.253253,0.578881,0.102437,0.984597,28.630126
SYN-W-0091,webcam,1.78094,0.451761,0.087726,0.953416,33.509101
SYN-W-0092,webcam,0.82652,0.667185,0.134656,0.916475,29.436249
SYN-W-0093,webcam,1.127329,0.637045,0.016336,0.928599,31.909221
SYN-W-0094,webcam,1.412667,0.538116,0.028991,0.952963,29.760426
SYN-W-0095,webcam,1.758168,0.317495,0.029804,0.932844,28.963361
SYN-W-0096,webcam,1.167945,0.645938,0.158873,0.916943,32.366018
SYN-W-0097,webcam,0.792876,0.47399,0.0,0.964658,30.208086
SYN-W-0098,webcam,1.249902,0.502946,0.109722,0.904387,26.633029
SYN-W-0099,webcam,0.855899,0.666111,0.088783,0.944296,27.368168
SYN-W-0100,webcam,1.766389,0.247642,0.061346,0.919944,31.955295
SYN-W-0101,webcam,1.054111,0.728583,0.107348,0.887705,31.862836
SYN-W-0102,webcam,1.447857,0.629382,0.12889,0.91835,29.525776
SYN-W-0103,webcam,1.254602,0.258986,0.064974,0.983656,33.425558
SYN-W-0104,webcam,1.20008,0.686547,0.091107,0.974436,29.080138
SYN-W-0105,webcam,1.459648,0.322651,0.000494,0.953018,28.657165
SYN-W-0106,webcam,1.24196,0.527187,0.133467,0.950807,30.30055
SYN-W-0107,webcam,0.985155,0.39606,0.110258,0.931938,29.246408
SYN-W-0108,webcam,0.801898,0.922973,0.098411,0.94024,30.914722
SYN-W-0109,webcam,1.678667,0.454036,0.06639,0.890115,28.706361
SYN-W-0110,webcam,0.932601,0.697524,0.018749,0.992953,32.720361
SYN-W-0111,webcam,0.89242,0.38061,0.172098,0.930265,34.372318
SYN-W-0112,webcam,0.951253,0.492051,0.054675,0.973669,28.898305
SYN-W-0113,webcam,0.5699,0.669854,0.0,0.9503,28.372695
SYN-W-0114,webcam,1.349483,0.557314,0.03999,0.943614,30.188145
SYN-W-0115,webcam,0.952948,0.4856,0.153994,0.927263,26.975122
SYN-W-0116,webcam,1.41569,0.479537,0.138404,0.909349,31.760741
SYN-W-0117,webcam,1.493192,0.727995,0.121966,0.942039,27.263841
SYN-W-0118,webcam,1.510755,0.56231,0.130559,0.96752,29.604413
SYN-W-0119,webcam,1.050444,0.704393,0.145762,0.935543,26.842668
SYN-W-0120,webcam,1.599728,0.357959,0.143614,0.946339,27.29178
SYN-W-0121,webcam,0.295886,0.687255,0.0,0.983421,27.625338
SYN-W-0122,webcam,1.623313,0.66669,0.147157,0.980523,26.858199
SYN-W-0123,webcam,0.977585,0.669664,0.080771,0.950896,31.794089
SYN-W-0124,webcam,1.27112,0.230487,0.066991,0.951545,32.692492
SYN-W-0125,webcam,0.846045,0.702805,0.067617,0.949657,26.699905
SYN-W-0126,webcam,1.004053,0.51043,0.033868,0.896554,30.563278
SYN-W-0127,webcam,1.013024,0.399852,0.104878,0.934693,27.995452
SYN-W-0128,webcam,1.073805,0.188869,0.123321,0.953527,30.103069
SYN-W-0129,webcam,1.162863,0.531448,0.068183,0.957846,28.156875
SYN-W-0130,webcam,1.510824,0.510572,0.083914,0.94041,24.055051
SYN-W-0131,webcam,1.507863,0.608451,0.097259,0.970418,29.286192
SYN-W-0132,webcam,0.974107,0.482936,0.123635,0.949091,31.944449
SYN-W-0133,webcam,1.3869,0.432618,0.034706,0.973253,36.525681
SYN-W-0134,webcam,0.762177,0.272078,0.14374,0.943696,28.820732
SYN-W-0135,webcam,1.058887,0.434193,0.076449,0.914691,28.880151
SYN-W-0136,webcam,0.945972,0.336424,0.139707,0.924506,30.614932
SYN-W-0137,webcam,1.122923,0.750577,0.192151,0.953538,31.618684
SYN-W-0138,webcam,0.876253,0.341172,0.036635,0.958683,30.788588
SYN-W-0139,webcam,0.940288,0.4915,0.102286,0.946649,28.540025
SYN-W-0140,webcam,1.021822,0.417026,0.103742,0.94164,31.523557
SYN-W-0141,webcam,0.709683,0.589639,0.048335,1.0,34.179589
SYN-W-0142,webcam,0.787408,0.492916,0.151581,0.971451,23.887192
SYN-W-0143,webcam,1.563175,0.419557,0.049527,0.934246,28.792276
SYN-W-0144,webcam,1.334016,0.539045,0.12165,0.984517,29.864866
SYN-W-0145,webcam,1.087928,0.542237,0.155074,0.970649,30.886727
SYN-W-0146,webcam,1.30397,0.561802,0.054522,0.99825,30.59459
SYN-W-0147,webcam,0.74659,0.496576,0.016353,0.965165,31.876861
SYN-W-0148,webcam,0.845598,0.665023,0.20244,0.904881,32.348141
SYN-W-0149,webcam,1.285328,0.518359,0.123949,0.961977,25.916773
SYN-W-0150,webcam,1.342416,0.389637,0.076492,0.981973,21.100971
SYN-W-0151,webcam,1.405003,0.270546,0.146619,0.925039,25.571666
SYN-W-0152,webcam,1.10973,0.612042,0.056987,0.972278,31.324225
SYN-W-0153,webcam,1.169222,0.493301,0.092598,0.910707,28.841648
SYN-W-0154,webcam,1.272449,0.800343,0.04171,0.921859,37.092065
SYN-W-0155,webcam,0.963062,0.474028,0.130969,0.913311,32.111306
SYN-W-0156,webcam,1.264167,0.480068,0.028952,0.905251,29.00927
SYN-W-0157,webcam,1.578791,0.417553,0.132508,0.961911,31.98835
SYN-W-0158,webcam,1.019528,0.299615,0.089701,0.965605,24.429641
SYN-W-0159,webcam,1.174996,0.447048,0.019328,0.946663,30.189813
SYN-W-0160,webcam,0.904968,0.451976,0.094239,0.901285,32.480837
SYN-W-0161,webcam,1.721826,0.58868,0.103549,0.931836,36.336414
SYN-W-0162,webcam,1.165359,0.218861,0.02488,0.971551,32.187786
SYN-W-0163,webcam,1.20804,0.475619,0.041421,0.933154,29.573955
SYN-W-0164,webcam,1.131548,0.565909,0.123013,0.955797,26.838954
SYN-W-0165,webcam,1.529643,0.370444,0.028689,0.888963,27.442523
SYN-W-0166,webcam,1.525206,0.732291,0.155797,0.933574,32.757794
SYN-W-0167,webcam,1.198472,0.846715,0.089243,0.909344,29.560885
SYN-W-0168,webcam,1.229284,0.49131,0.186036,0.948505,28.938171
SYN-W-0169,webcam,1.082635,0.48286,0.046372,0.956744,27.866852
SYN-W-0170,webcam,1.758779,0.554266,0.078584,0.869336,31.240762
SYN-W-0171,webcam,1.267801,0.716314,0.146804,0.902815,29.681135
SYN-W-0172,webcam,1.640146,0.33901,0.088142,0.945598,28.340617
SYN-W-0173,webcam,1.607152,0.367576,0.201699,0.919771,27.738193
SYN-W-0174,webcam,1.197223,0.406783,0.023912,0.885331,27.395126
SYN-W-0175,webcam,1.754179,0.65671,0.087059,0.940893,26.597953
SYN-W-0176,webcam,0.808434,0.34521,0.087715,0.961867,32.995102
SYN-W-0177,webcam,1.188449,0.405811,0.09501,0.947318,30.914719
SYN-W-0178,webcam,1.01294,0.651999,0.0,0.929202,32.257085
SYN-W-0179,webcam,1.30219,0.415495,0.04615,0.933281,25.601338
SYN-W-0180,webcam,0.745087,0.612047,0.120653,0.891875,32.109274
SYN-W-0181,webcam,0.738134,0.627631,0.0,0.87568,29.4812
SYN-W-0182,webcam,0.934537,0.690201,0.002919,0.945129,28.476905
SYN-W-0183,webcam,1.381238,0.475718,0.111637,0.870064,28.338303
SYN-W-0184,webcam,1.166791,0.537128,0.078021,0.922555,31.187884
SYN-W-0185,webcam,1.62537,0.604838,0.113834,0.952429,37.447574
SYN-W-0186,webcam,1.157299,0.723916,0.112763,0.89774,28.781997
SYN-W-0187,webcam,1.455254,0.545085,0.123909,0.970363,29.151149
SYN-W-0188,webcam,1.141868,0.617741,0.087076,0.899438,32.851316
SYN-W-0189,webcam,0.993748,0.256225,0.116145,1.0,26.912044
SYN-W-0190,webcam,1.10536,0.382164,0.036519,0.984121,29.808323
SYN-W-0191,webcam,1.379548,0.806153,0.100897,0.906182,26.821858
SYN-W-0192,webcam,0.941653,0.352227,0.050288,0.891144,33.78614
SYN-W-0193,webcam,1.367949,0.481501,0.004402,0.907434,28.635847
SYN-W-0194,webcam,0.765207,0.78949,0.031047,0.965947,27.636945
SYN-W-0195,webcam,1.309681,0.468245,0.187036,0.93578,29.692889
SYN-W-0196,webcam,1.366377,0.467115,0.139618,0.915246,33.352165
SYN-W-0197,webcam,1.495363,0.325561,0.041676,0.870517,33.701612
SYN-W-0198,webcam,1.450459,0.537234,0.113656,0.960366,27.286795
SYN-W-0199,webcam,1.049345,0.505118,0.119871,0.953045,34.052106
SYN-W-0200,webcam,0.915699,0.484126,0.046254,0.959455,27.925223
SYN-W-0201,webcam,1.379793,0.741871,0.093432,0.960996,36.461049
SYN-W-0202,webcam,1.335525,0.366626,0.058889,0.92062,31.652891
SYN-W-0203,webcam,1.203339,0.413447,0.009288,0.96884,29.628883
SYN-W-0204,webcam,1.780251,0.608366,0.146123,0.951364,33.075099
SYN-W-0205,webcam,1.41252,0.579459,0.188049,0.909107,28.392903
SYN-W-0206,webcam,0.767996,0.793336,0.093829,0.962749,29.117155
SYN-W-0207,webcam,1.220833,0.865776,0.194654,0.94814,29.698074
SYN-W-0208,webcam,1.165606,0.393202,0.112346,0.956682,29.534684
SYN-W-0209,webcam,1.167148,0.615146,0.130429,0.898206,30.23328
SYN-W-0210,webcam,1.355067,0.571435,0.071477,0.980918,32.914376
SYN-W-0211,webcam,0.705373,0.474676,0.06423,0.88292,30.477431
SYN-W-0212,webcam,1.250647,0.359842,0.023462,0.952458,29.449065
SYN-W-0213,webcam,1.298324,0.462215,0.090842,0.920106,31.962535
SYN-W-0214,webcam,1.109677,0.281199,0.086002,0.967172,32.293502
SYN-W-0215,webcam,1.124327,0.342817,0.058554,0.97361,30.531816
SYN-W-0216,webcam,1.047396,0.757764,0.13511,0.962171,26.508977
SYN-W-0217,webcam,0.985417,0.755914,0.14085,0.972209,29.456993
SYN-W-0218,webcam,1.106226,0.699845,0.152909,1.0,30.894982
SYN-W-0219,webcam,1.504026,0.593453,0.166474,0.897912,27.949083
SYN-W-0220,webcam,0.67312,0.541656,0.016221,0.914736,30.710737
SYN-W-0221,webcam,1.293905,0.650846,0.144893,0.867432,30.397923
SYN-W-0222,webcam,1.22696,0.77502,0.13532,0.936547,33.244522
SYN-W-0223,webcam,1.412485,0.517432,0.076919,0.973186,28.110158
SYN-W-0224,webcam,1.065897,0.437908,0.030555,0.950113,36.828575
SYN-W-0225,webcam,1.372691,0.455829,0.131861,0.948754,33.466235
SYN-W-0226,webcam,0.858952,0.356081,0.124786,0.896131,24.789232
SYN-W-0227,webcam,1.099435,0.539023,0.017525,0.89935,27.348108
SYN-W-0228,webcam,0.908246,0.422938,0.093129,0.958306,32.089264
SYN-W-0229,webcam,1.232392,0.616268,0.074015,0.919227,28.392491
SYN-W-0230,webcam,1.44401,0.477924,0.117745,0.953339,31.586867
SYN-W-0231,webcam,1.038737,0.525212,0.032668,0.938805,29.845357
SYN-W-0232,webcam,0.942223,0.490924,0.123653,0.971274,32.338099
SYN-W-0233,webcam,1.700068,0.460152,0.154627,0.885327,30.409851
SYN-W-0234,webcam,1.201667,0.531706,0.124189,0.94071,27.863124
SYN-W-0235,webcam,1.06718,0.633759,0.147066,0.9322,31.498185
SYN-W-0236,webcam,1.26526,0.701067,0.0,0.970304,25.738548
SYN-W-0237,webcam,0.861074,0.567801,0.05755,1.0,31.365341
SYN-W-0238,webcam,1.288532,0.628284,0.046498,0.924749,26.072422
SYN-W-0239,webcam,1.06712,0.627873,0.030614,0.914377,28.807294
SYN-W-0240,webcam,1.500925,0.512351,0.073953,0.91903,31.489966
SYN-W-0241,webcam,0.957603,0.594895,0.122984,0.91409,28.38815
SYN-W-0242,webcam,0.776626,0.711747,0.048004,0.865816,25.776146
SYN-W-0243,webcam,1.455459,0.511849,0.083566,0.931358,36.314859
SYN-W-0244,webcam,1.453627,0.428597,0.102285,0.945967,27.411276
SYN-W-0245,webcam,1.341124,0.316845,0.065202,0.919503,28.427375
SYN-W-0246,webcam,0.918052,0.489341,0.095585,0.940451,30.850228
SYN-W-0247,webcam,1.942699,0.518222,0.213266,0.887149,26.784592
SYN-W-0248,webcam,1.715,0.660561,0.162599,0.932291,31.456945
SYN-W-0249,webcam,1.431431,0.2469,0.074036,0.929833,23.851414
SYN-W-0250,webcam,1.004748,0.406412,0.118347,0.901851,31.361924
SYN-W-0251,webcam,1.144985,0.41586,0.102559,1.0,30.881862
SYN-W-0252,webcam,1.350937,0.517709,0.025856,0.985332,28.407396
SYN-W-0253,webcam,1.114827,0.454675,0.186282,0.965646,29.137958
SYN-W-0254,webcam,1.017236,0.530762,0.141046,0.92988,34.825477
SYN-W-0255,webcam,1.235666,0.586655,0.092029,0.892589,30.59977
SYN-W-0256,webcam,0.867896,0.636035,0.069645,0.953089,28.268324
SYN-W-0257,webcam,0.942823,0.596524,0.129238,0.951288,31.733858
SYN-W-0258,webcam,0.86703,0.993777,0.043177,0.922225,24.361611
SYN-W-0259,webcam,1.103491,0.43438,0.122348,0.931613,32.024226
SYN-W-0260,webcam,1.140829,0.337149,0.127284,0.983488,26.707055
SYN-W-0261,webcam,1.922186,0.701183,0.063461,0.90612,31.430022
SYN-W-0262,webcam,0.870203,0.5926,0.085579,0.865508,27.135679
SYN-W-0263,webcam,1.216527,0.466687,0.077185,0.941206,27.625123
SYN-W-0264,webcam,0.662798,0.575765,0.055865,0.975311,33.713191
SYN-W-0265,webcam,1.214092,0.43058,0.143358,0.943601,26.86937
SYN-W-0266,webcam,0.834019,0.652183,0.038873,0.914901,26.490087
SYN-W-0267,webcam,0.832179,0.222454,0.094518,0.973934,31.648017
SYN-W-0268,webcam,1.19152,0.505235,0.086542,0.957641,31.468276
SYN-W-0269,webcam,1.258898,0.526889,0.139604,0.913121,30.14748
SYN-W-0270,webcam,1.384524,0.392815,0.119851,0.878214,24.690467
SYN-W-0271,webcam,0.871798,0.536288,0.044165,0.937359,28.594241
SYN-W-0272,webcam,1.246213,0.452434,0.066934,1.0,28.094744
SYN-W-0273,webcam,0.971698,0.188402,0.042319,0.948593,26.997038
SYN-W-0274,webcam,1.007704,0.680781,0.142264,0.985116,34.982019
SYN-W-0275,webcam,0.616446,0.473603,0.078203,0.940143,29.143172
SYN-W-0276,webcam,1.462533,0.278715,0.073018,0.968782,27.674793
SYN-W-0277,webcam,1.090323,0.673962,0.112736,0.957847,33.935837
SYN-W-0278,webcam,0.554785,0.413504,0.081452,0.982661,30.156025
SYN-W-0279,webcam,0.996675,0.516101,0.160909,0.953521,31.692312
SYN-W-0280,webcam,0.742306,0.814255,0.073007,0.978729,26.772075
SYN-W-0281,webcam,0.800815,0.424335,0.116348,0.894811,31.055675
SYN-W-0282,webcam,1.160168,0.217325,0.048555,0.909366,31.481322
SYN-W-0283,webcam,1.118473,0.44861,0.043145,0.928696,33.296356
SYN-W-0284,webcam,1.039421,0.50398,0.109057,0.964147,31.226448
SYN-W-0285,webcam,0.695882,0.595323,0.111735,0.970736,30.023581
SYN-W-0286,webcam,0.81921,0.363449,0.128852,0.895743,33.127423
SYN-W-0287,webcam,0.716427,0.827706,0.10559,1.0,28.369167
SYN-W-0288,webcam,1.445053,0.369169,0.048165,1.0,27.623612
SYN-W-0289,webcam,0.981383,0.5411,0.0,0.957998,30.352491
SYN-W-0290,webcam,1.426899,0.494537,0.065286,0.9046,31.400588
SYN-W-0291,webcam,1.098679,0.54092,0.091215,0.991226,25.845314
SYN-W-0292,webcam,1.19053,0.691976,0.098616,0.92449,30.108507
SYN-W-0293,webcam,0.932162,0.323026,0.000876,0.976896,30.174069
SYN-W-0294,webcam,1.328008,0.553678,0.078661,0.954097,30.535046
SYN-W-0295,webcam,1.501255,0.579762,0.188456,0.930293,29.047638
SYN-W-0296,webcam,1.583584,0.523996,0.141047,0.964138,31.905519
SYN-W-0297,webcam,0.902459,0.567392,0.111082,0.933531,33.615919
SYN-W-0298,webcam,1.270298,0.620354,0.113976,0.927611,26.856677
SYN-W-0299,webcam,1.411256,0.514925,0.114821,0.927633,29.714969
SYN-W-0300,webcam,1.472171,0.642235,0.101818,0.964893,30.949079
SYN-W-0301,webcam,1.254072,0.663879,0.161936,0.954089,29.860913
SYN-W-0302,webcam,1.824036,0.378547,0.071836,0.974118,34.693201
SYN-W-0303,webcam,1.281711,0.502286,0.140522,0.974265,27.759365
SYN-W-0304,webcam,1.871525,0.346691,0.150371,0.995873,31.260929
SYN-W-0305,webcam,1.731689,0.449562,0.133003,0.988642,28.166095
SYN-W-0306,webcam,1.105186,0.541046,0.007015,0.96548,32.323111
SYN-W-0307,webcam,0.490271,0.376815,0.089782,0.887199,29.095253
SYN-W-0308,webcam,0.709707,0.391878,0.072688,0.966585,30.698881
SYN-W-0309,webcam,1.451321,0.694069,0.077059,0.930729,30.407448
SYN-W-0310,webcam,1.335951,0.769862,0.128212,0.944375,25.630901
SYN-W-0311,webcam,0.935937,0.361591,0.04888,0.963432,31.42993
SYN-W-0312,webcam,1.298796,0.098575,0.0,0.929542,26.177524
SYN-W-0313,webcam,1.168963,0.686434,0.143196,1.0,29.236283
SYN-W-0314,webcam,1.361677,0.471159,0.115576,0.900602,27.390324
SYN-W-0315,webcam,0.961934,0.564597,0.058066,0.875995,29.698104
SYN-W-0316,webcam,1.1273,0.777938,0.151359,0.966731,29.530131
SYN-W-0317,webcam,1.545862,0.526897,0.033883,0.866841,27.450299
SYN-W-0318,webcam,1.12416,0.824076,0.083993,0.928803,30.749323
SYN-W-0319,webcam,1.305044,0.291924,0.048752,1.0,29.920553
SYN-W-0320,webcam,0.783107,0.434311,0.087164,0.927529,31.656976
SYN-W-0321,webcam,0.923468,0.309877,0.026601,0.901607,29.729418
SYN-W-0322,webcam,0.828259,0.714658,0.169049,0.882135,29.476474
SYN-W-0323,webcam,1.399859,0.455537,0.136269,0.873609,29.203245
SYN-W-0324,webcam,1.820865,0.610769,0.174513,0.931796,25.531905
SYN-W-0325,webcam,1.197685,0.349621,0.135567,0.952342,27.59111
SYN-W-0326,webcam,1.307784,0.63547,0.038263,0.925657,31.837097
SYN-W-0327,webcam,1.02122,0.382835,0.119629,0.953995,33.260556
SYN-W-0328,webcam,1.149585,0.359179,0.075113,0.97091,27.322952
SYN-W-0329,webcam,1.266653,0.228585,0.12909,0.893946,29.682148
SYN-W-0330,webcam,0.915618,0.227181,0.0861,1.0,34.367
SYN-W-0331,webcam,1.091166,0.397063,0.083455,0.94439,31.374087
SYN-W-0332,webcam,1.265064,0.115865,0.101395,0.964731,30.89134
SYN-W-0333,webcam,1.147146,0.350165,0.134413,0.95715,30.31705
SYN-W-0334,webcam,0.976488,0.497469,0.15205,0.880619,32.397794
SYN-W-0335,webcam,0.935441,0.31695,0.164843,0.923741,26.895554
SYN-W-0336,webcam,0.826481,0.585285,0.150547,0.961132,31.72561
SYN-W-0337,webcam,0.734793,0.462024,0.173002,0.933187,29.609122
SYN-W-0338,webcam,0.808168,0.561084,0.105878,0.93611,29.489707
SYN-W-0339,webcam,0.98168,0.296772,0.0,0.919158,29.284835
SYN-W-0340,webcam,1.341562,0.382386,0.080705,0.996801,31.48117
SYN-W-0341,webcam,0.819686,0.580375,0.066811,0.93592,31.408842
SYN-W-0342,webcam,0.928704,0.625169,0.134758,0.941911,29.879963
SYN-W-0343,webcam,0.873359,0.630552,0.100122,0.964644,32.895423
SYN-W-0344,webcam,1.256363,0.428609,0.150915,0.875152,34.791692
SYN-W-0345,webcam,1.012443,0.548469,0.091699,0.976633,29.246971
SYN-W-0346,webcam,1.064339,0.557923,0.006424,0.958835,33.130852
SYN-W-0347,webcam,1.419164,0.591754,0.135075,0.942691,31.071451
SYN-W-0348,webcam,1.233088,0.413583,0.150035,0.93791,27.648581
SYN-W-0349,webcam,0.489728,0.384234,0.033869,0.907879,31.13371
SYN-W-0350,webcam,1.473706,0.596488,0.036288,0.974287,27.046209
SYN-W-0351,webcam,1.218161,0.289763,0.091777,0.929739,31.854045
SYN-W-0352,webcam,1.5,0.60919,0.139029,0.884182,33.110961
SYN-W-0353,webcam,1.07639,0.642907,0.094584,0.920635,28.003944
SYN-W-0354,webcam,0.335964,0.689846,0.136569,0.84026,34.022015
SYN-W-0355,webcam,1.455263,0.386089,0.068563,0.971595,30.799183
SYN-W-0356,webcam,0.753923,0.468045,0.0,0.974794,28.227844
SYN-W-0357,webcam,0.972025,0.503737,0.066748,0.911504,29.005461
SYN-W-0358,webcam,1.30096,0.394153,0.116494,0.896248,27.984324
SYN-W-0359,webcam,0.963304,0.489298,0.086673,0.978668,30.999208
SYN-W-0360,webcam,1.223631,0.475229,0.06915,0.936091,27.263341
SYN-W-0361,webcam,1.678652,0.442919,0.105023,0.951006,31.241662
SYN-W-0362,webcam,1.595414,0.331446,0.0,0.927797,25.765996
SYN-W-0363,webcam,0.82375,0.26969,0.160653,1.0,29.401884
SYN-W-0364,webcam,0.991227,0.650296,0.149264,0.99028,27.96328
SYN-W-0365,webcam,0.688615,0.477074,0.087408,0.927061,33.963719
SYN-W-0366,webcam,0.728078,0.581804,0.132378,0.931985,30.497536
