comparison_unit_id,scenario,stimulus_id,map_correlation,histogram_intersection,jensen_shannon_distance,hotspot_dice,centroid_distance_norm,center_bias_webcam_cc,center_bias_professional_cc
SYN-P009,temporal_lag,SYN-FACE-01,0.9755441065086341,0.8845164207304508,0.15558981014006346,0.9139784946236559,0.005545729417502286,0.5450117477852671,0.5300679560167447
SYN-P009,temporal_lag,SYN-FACE-02,0.9217891196626533,0.8525822652703915,0.18036161645284485,0.8,0.004611247305848605,0.4912967594853394,0.5051689567446815
SYN-P009,temporal_lag,SYN-FACE-03,0.9278832672491716,0.8474192963276719,0.17235366755064335,0.7549019607843137,0.018068757467378037,0.5642313251453649,0.6392387729491331
SYN-P010,high_dropout,SYN-FACE-01,0.9497425773963541,0.8384287230271651,0.18544350918999244,0.8478260869565217,0.03963093330774898,0.5539699770235019,0.5223340055480752
SYN-P010,high_dropout,SYN-FACE-02,0.956503831667706,0.8470936545116736,0.1775403578691492,0.7668393782383419,0.004328487655568082,0.5051924212883798,0.49498664796805
SYN-P010,high_dropout,SYN-FACE-03,0.8884406488803144,0.7999116697154427,0.21955215536738693,0.6567164179104478,0.02356346849412151,0.5995929678469356,0.616345717775922
SYN-P011,high_dropout,SYN-FACE-01,0.9438617935624923,0.8371492504493518,0.19017084280444,0.8587570621468926,0.006191760693211713,0.48037611933940494,0.4967207340314146
SYN-P011,high_dropout,SYN-FACE-02,0.9281618048498811,0.810214192663534,0.22623616206658567,0.7956989247311828,0.009804858021508177,0.5045400668894143,0.467534412919462
SYN-P011,high_dropout,SYN-FACE-03,0.9395013393525942,0.8342517762039451,0.1971589838109609,0.8,0.008236054223609226,0.6303013297679833,0.589235065796385
SYN-P012,high_dropout,SYN-FACE-01,0.930320301272608,0.8185237789537086,0.22194454863497884,0.7757575757575758,0.021745870067642586,0.4862043253959208,0.47669307463378674
SYN-P012,high_dropout,SYN-FACE-02,0.969314659788674,0.8660208908621588,0.1647798530790583,0.8654970760233918,0.006831542519037809,0.43031682770446517,0.4300213939787244
SYN-P012,high_dropout,SYN-FACE-03,0.9569009353888626,0.847804745978495,0.19550680876357188,0.865979381443299,0.012325460399974108,0.5867052169398193,0.542123022232125
